"","iid","id","gender","idg","condtn","wave","round","position","positin1","order","partner","pid","match","int_corr","samerace","age_o","race_o","pf_o_att","pf_o_sin","pf_o_int","pf_o_fun","pf_o_amb","pf_o_sha","dec_o","attr_o","sinc_o","intel_o","fun_o","amb_o","shar_o","like_o","prob_o","met_o","age","field","field_cd","X....","mn_sat","tuition","race","imprace","imprelig","from","zipcode","income","goal","date","go_out","career","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","exphappy","expnum","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","attr4_1","sinc4_1","intel4_1","fun4_1","amb4_1","shar4_1","attr2_1","sinc2_1","intel2_1","fun2_1","amb2_1","shar2_1","attr3_1","sinc3_1","fun3_1","intel3_1","amb3_1","attr5_1","sinc5_1","intel5_1","fun5_1","amb5_1","dec","attr","sinc","intel","fun","amb","shar","like","prob","met","match_es","attr1_s","sinc1_s","intel1_s","fun1_s","amb1_s","shar1_s","attr3_s","sinc3_s","intel3_s","fun3_s","amb3_s","satis_2","length","numdat_2","attr7_2","sinc7_2","intel7_2","fun7_2","amb7_2","shar7_2","attr1_2","sinc1_2","intel1_2","fun1_2","amb1_2","shar1_2","attr4_2","sinc4_2","intel4_2","fun4_2","amb4_2","shar4_2","attr2_2","sinc2_2","intel2_2","fun2_2","amb2_2","shar2_2","attr3_2","sinc3_2","intel3_2","fun3_2","amb3_2","attr5_2","sinc5_2","intel5_2","fun5_2","amb5_2","you_call","them_cal","date_3","numdat_3","num_in_3","attr1_3","sinc1_3","intel1_3","fun1_3","amb1_3","shar1_3","attr7_3","sinc7_3","intel7_3","fun7_3","amb7_3","shar7_3","attr4_3","sinc4_3","intel4_3","fun4_3","amb4_3","shar4_3","attr2_3","sinc2_3","intel2_3","fun2_3","amb2_3","shar2_3","attr3_3","sinc3_3","intel3_3","fun3_3","amb3_3","attr5_3","sinc5_3","intel5_3","fun5_3","amb5_3"
"3670",256,5,0,9,2,11,21,7,7,17,16,288,0,-0.22,0,27,2,20,20,15,25,10,10,1,6,6,6,6,5,5,6,3,2,24,"Medicine",4,"Harvard","1,400.00","26,019.00",4,6,5,"Northern Virginia","22,015","62,997.00",2,6,4,"Physician",4,5,3,6,7,6,5,6,5,5,5,8,6,8,8,8,9,3,6,NA,15,25,20,20,10,10,20,15,15,20,10,20,30,10,20,25,5,10,6,9,6,8,6,7,7,8,6,7,0,6,7,7,6,5,5,6,6,0,2,20,25,20,10,10,15,7,8,8,7,7,5,1,3,NA,NA,NA,NA,NA,NA,20,20,20,20,10,10,25,15,15,20,15,10,35,10,15,20,5,15,7,8,8,7,7,7,7,8,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366",31,11,0,21,2,2,16,8,NA,5,6,45,0,-0.38,1,28,2,25,15,25,15,0,20,1,9,8,8,7,8,6,8,7,2,24,"law",1,"","","",2,4,8,"Washington, DC","13,413","36,485.00",1,4,3,"law",1,3,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6,5,4,35,10,20,20,10,5,NA,NA,NA,NA,NA,NA,40,10,10,25,5,10,8,8,9,8,9,NA,NA,NA,NA,NA,0,4,5,7,3,6,4,5,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,NA,NA,NA,NA,NA,NA,50,5,5,25,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,8,8,8,NA,NA,NA,NA,NA,0,1,0,NA,NA,35,5,20,20,15,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,8,8,9,NA,NA,NA,NA,NA
"1829",130,9,1,16,1,5,10,7,NA,5,3,114,0,-0.06,0,20,1,20,20,20,20,10,10,1,7,8,7,5,6,6,7,6,2,20,"Engineering",5,"","","",4,4,1,"India, Holland","","",1,6,2,"don't know",10,7,4,9,8,3,2,7,5,7,6,2,1,2,2,9,6,2,6,1,80,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,20,10,10,NA,NA,5,6,6,6,6,NA,NA,NA,NA,NA,0,1,1,6,2,5,1,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,NA,NA,NA,NA,NA,NA,60,5,20,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,7,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5779",380,2,0,3,2,15,19,4,4,3,16,412,0,0.23,0,27,2,75,5,5,5,5,5,1,8,7,8,8,8,7,6,6,2,33,"MFA -Film",14,"University of Michigan","1,290.00","21,645.00",1,4,8,"Chicago","60,519","",2,7,4,"film directing",6,7,8,8,8,5,5,3,1,5,5,7,7,10,9,9,9,9,6,NA,20,20,20,15,15,10,20,15,15,20,20,10,100,0,0,0,0,0,4,7,9,9,9,3,7,9,9,9,0,5,6,7,7,6,5,3,5,2,5,15,25,20,15,15,10,6,8,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1453",100,7,1,14,2,4,18,8,NA,18,13,88,0,0.54,0,23,2,15,15,20,15,20,15,0,4,10,10,6,10,9,7,8,2,30,"Business",8,"","","",6,8,9,"Israel","92,425","",1,3,2,"Professor",2,5,4,6,7,6,6,2,2,4,6,5,7,7,3,7,6,2,5,4,20,25,25,15,5,10,NA,NA,NA,NA,NA,NA,20,15,20,15,15,15,7,8,8,9,6,NA,NA,NA,NA,NA,0,7,8,9,9,9,8,8,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,2,NA,NA,NA,NA,NA,NA,25,30,15,20,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,9,8,7,NA,NA,NA,NA,NA,0,0,0,NA,NA,20,25,25,15,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,9,9,7,NA,NA,NA,NA,NA
"6456",419,4,0,7,1,16,8,4,4,3,4,425,0,0.29,1,28,2,16,25,20,12,12,15,0,7,8,9,6,9,6,5,3,2,28,"Social Work",11,"Bennington College","1,191.00","25,000.00",2,0,1,"Colorado","80,220","29,236.00",4,2,1,"Social Work Policy",11,6,2,5,8,5,6,5,2,9,9,8,9,9,6,6,4,7,5,NA,5,30,20,10,5,30,50,5,10,20,5,10,50,10,5,10,5,20,9,8,5,9,3,8,8,9,3,8,0,3.5,5,7.5,2,8,5,4,8,2,3,20,20,20,10,5,25,8,8,8,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2669",197,4,0,7,2,9,20,3,3,19,1,214,0,-0.04,0,23,2,17.02,21.28,17.02,21.28,14.89,8.51,1,8,8,9,6,8,5,8,6,2,24,"International Affairs and Public Health",13,"","","",6,2,1,"Berkeley","92,064","53,229.00",1,4,3,"Development work",7,6,1,4,10,8,8,4,7,5,9,6,5,10,8,10,7,3,3,NA,14,18,20,18,16,14,9,6,9,9,7,6,23.81,14.29,19.05,16.67,14.29,11.9,7,8,9,9,7,NA,NA,NA,NA,NA,0,7,7,7,7,7,4,4,5,2,7,14.58,16.67,18.75,20.83,14.58,14.58,7,8,9,9,6,3,3,2,NA,NA,NA,NA,NA,NA,18.37,14.29,20.41,20.41,14.29,12.24,9,8,7,8,8,6,23.26,16.28,16.28,16.28,13.95,13.95,7,8,9,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1978",147,6,0,11,2,7,16,3,3,12,2,159,0,0.55,0,28,2,15.91,20.45,20.45,20.45,11.36,11.36,0,6,6,6,6,6,3,5,4,2,26,"Business",8,"","","",4,3,3,"New York","10,014","41,831.00",5,5,1,"Business",7,8,7,8,9,9,9,5,2,8,10,8,9,8,6,6,7,10,5,NA,18,18,20,18,16,10,9,9,9,9,9,9,25,12.5,12.5,25,12.5,12.5,8,7,8,9,7,NA,NA,NA,NA,NA,0,5,6,8,5,5,4,5,4,0,7,18.75,16.67,18.75,16.67,16.67,12.5,8,8,9,9,8,4,3,2,NA,NA,NA,NA,NA,NA,18.75,16.67,18.75,16.67,16.67,12.5,10,6,6,9,6,6,23.26,13.95,13.95,20.93,13.95,13.95,8,8,9,9,8,NA,NA,NA,NA,NA,0,2,1,1,1,15.69,15.69,19.61,17.65,17.65,13.73,NA,NA,NA,NA,NA,NA,10,6,6,10,6,6,10,6,6,10,6,NA,9,8,9,9,7,NA,NA,NA,NA,NA
"8177",543,13,1,26,2,21,22,13,12,2,19,527,0,0.13,0,24,6,50,20,10,5,10,5,0,5,6,8,5,8,2,4,3,2,24,"Electrical Engineering",5,"University of Southern California","1,320.00","25,533.00",4,9,6,"San Diego","95,831","47,624.00",1,7,2,"Research Engineer",5,8,8,5,8,8,5,5,9,8,8,8,6,8,8,8,8,3,8,NA,20,16,16,17,16,15,20,16,16,17,16,15,20,16,16,17,16,15,7,9,9,8,9,7,9,8,9,9,0,6,8,8,7,8,5,5,5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,30,15,15,15,15,10,30,15,15,15,15,10,25,20,15,15,15,10,25,20,15,15,15,10,7,8,8,8,8,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1212",87,12,0,23,2,4,18,9,NA,6,6,99,1,0.24,1,28,2,30,30,20,10,10,0,1,8,8,8,8,7,4,8,9,2,23,"Social Work",11,"","","",2,8,10,"NJ","7,746","",1,3,2,"Social Worker",9,10,5,10,8,7,7,8,4,9,9,6,7,10,9,10,7,9,4,10,15,15,20,15,15,20,NA,NA,NA,NA,NA,NA,15,15,20,15,15,20,9,9,9,9,9,NA,NA,NA,NA,NA,1,8,8,7,7,8,7,6,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,NA,NA,NA,NA,NA,NA,25,15,20,25,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,9,9,NA,NA,NA,NA,NA,0,1,0,NA,NA,50,15,20,15,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,9,10,10,NA,NA,NA,NA,NA
"3581",252,1,0,1,2,11,21,18,18,20,11,283,0,-0.02,0,27,4,50,10,10,10,10,10,1,9,9,9,9,9,9,9,9,2,28,"Political Science",13,"Universidad Iberoamericana","","",3,1,1,"Mexico","11,910","",1,6,2,"Professor",2,4,3,3,8,7,6,7,4,9,9,2,9,9,9,9,9,2,10,NA,0,25,25,25,25,0,30,20,10,30,0,10,20,5,20,20,20,15,9,9,9,9,10,9,10,8,7,7,0,6,1,5,1,1,1,1,2,0,2,10,20,20,20,20,10,8,8,8,10,9,4,1,2,NA,NA,NA,NA,NA,NA,10,20,20,20,20,10,40,10,10,10,10,20,40,10,10,10,10,20,8,9,8,9,8,8,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7053",477,12,0,23,2,19,15,4,4,2,12,492,0,0.32,0,30,6,30,0,30,30,10,0,0,5,10,10,5,5,4,8,2,2,27,"Electrical Engineering",5,"McGill University","","",3,5,7,"Canada","","",1,4,2,"Engineer",5,9,6,7,8,6,8,8,4,7,7,4,7,8,7,7,6,4,7,NA,16,19,16,17,15,17,20,20,15,15,15,15,25,20,15,20,10,10,6,8,7,7,7,6,7,7,6,8,1,8,7,8,8,8,NA,8,6,0,3,8,8,6,8,7,6,6,8,7,7,7,8,1,3,20,19,15,19,16,11,18,19,15,17,15,16,20,18,17,17,14,14,21,17,15,19,12,16,6,8,6,6,7,7,8,8,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4243",284,12,1,24,2,11,21,18,18,2,1,252,0,0.54,0,28,3,0,25,25,25,25,0,0,2,4,4,1,7,2,3,4,2,27,"Business School",8,"Columbia Business School","1,430.00","",2,1,5,"Iceland","0","",1,5,2,"Film/Television",6,9,2,5,7,7,9,8,1,5,9,5,5,9,8,9,8,5,7,NA,25,20,25,20,10,0,25,15,20,20,5,15,15,15,15,20,20,15,7,6,7,8,7,7,5,6,7,8,0,7,7,NA,7,NA,NA,7,3,0,2,25,15,20,20,20,0,8,5,7,7,7,6,1,2,NA,NA,NA,NA,NA,NA,25,15,20,20,20,0,15,15,15,20,25,10,20,10,15,25,10,20,8,7,7,7,7,7,6,7,8,8,1,1,1,1,0,30,30,30,15,15,10,30,15,15,30,20,20,25,20,20,20,5,10,25,15,20,20,10,10,7,7,7,7,6,7,6,8,7,7
"5788",381,3,0,5,2,15,19,5,5,17,6,402,0,-0.09,0,29,4,25,20,15,25,10,5,1,6,7,6,7,7,8,6,4,2,24,"Film",14,"NYU","1,340.00","25,380.00",2,6,3,"California","92,833","",5,4,1,"Screenwriter",6,5,5,5,7,8,8,6,5,6,9,6,4,8,7,8,8,7,2,NA,20,10,20,35,5,10,40,5,20,15,10,10,40,5,20,15,10,10,7,7,10,9,8,7,8,8,9,9,0,6,8,8,8,9,5,7,4,2,3,15,10,10,40,5,20,7,8,8,9,9,5,1,3,40,15,20,15,5,5,20,20,20,30,5,5,35,10,10,15,15,15,30,10,10,20,5,25,7,8,8,8,9,7,7,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4236",283,11,1,22,2,11,21,10,10,12,15,266,0,0.18,0,28,2,25,20,20,25,0,10,0,2,7,7,10,5,NA,6,7,2,27,"Electrical Engg.",5,"REC, Rourkela","","",4,1,1,"Boston","1,851","",1,4,2,"Industry CTO/CEO",7,9,6,6,6,4,4,8,6,6,8,1,5,3,3,7,2,7,5,NA,50,10,10,10,10,10,30,10,30,10,10,10,30,10,30,10,10,10,9,9,9,9,9,9,8,8,7,9,1,10,10,10,10,10,10,10,10,0,1,30,10,30,10,10,10,7,4,7,7,7,6,1,2,NA,NA,NA,NA,NA,NA,30,10,30,10,10,10,30,10,30,10,10,10,30,10,30,10,10,10,9,6,9,8,9,8,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8235",546,16,1,32,2,21,22,20,22,21,11,519,0,0.18,1,26,2,40,5,30,15,5,5,0,6,5,8,5,8,6,6,8,2,30,"Business",8,"University of Genova","","",2,3,4,"Genova, Italy","16,146","",2,4,1,"Consulting",7,10,5,8,10,4,3,5,1,1,2,4,3,6,3,9,10,6,8,NA,35,10,20,25,5,5,50,0,20,30,0,0,30,10,10,30,10,10,9,8,10,8,7,8,7,7,10,6,0,5,6,5,7,6,6,5,4,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,2,30,0,20,40,0,10,30,10,20,30,0,10,30,30,20,20,0,0,30,20,10,30,0,10,8,6,8,9,5,8,5,8,9,8,2,2,1,1,1,40,0,10,30,0,20,40,0,0,40,0,20,30,10,20,30,10,20,30,20,30,20,0,0,8,6,9,10,7,9,8,8,9,8
"5579",370,10,1,20,2,14,20,20,20,16,15,355,0,0.25,1,24,2,50,20,10,5,10,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,"MBA",8,"Cornell","1,360.00","26,062.00",2,7,4,"New York","11,363","55,704.00",3,4,1,"Consulting",7,7,8,7,7,6,6,3,1,6,7,2,2,2,5,9,4,1,7,NA,50,10,10,10,10,10,50,10,10,10,10,10,30,10,20,10,20,10,8,6,9,9,9,8,6,9,9,9,1,8,8,8,8,7,7,8,8,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,2,NA,NA,NA,NA,NA,NA,50,5,15,10,15,5,40,10,10,5,15,10,40,10,10,10,20,10,8,7,8,9,10,8,7,8,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1041",77,2,0,3,2,4,18,10,NA,3,15,108,0,0.41,1,24,2,10,20,35,20,0,15,0,9,6,7,6,5,3,5,2,2,22,"Social Work",11,"","","",2,2,2,"Minnesota","55,446","46,166.00",1,4,2,"Social Worker",11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,6,4,15,20,20,20,15,10,NA,NA,NA,NA,NA,NA,40,5,20,20,10,5,6,8,8,8,8,NA,NA,NA,NA,NA,1,9,7,7,9,6,5,8,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,2,NA,NA,NA,NA,NA,NA,30,15,15,20,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,8,8,NA,NA,NA,NA,NA,0,4,1,NA,NA,15,15,20,25,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,7,8,9,NA,NA,NA,NA,NA
"2870",207,14,0,27,2,9,20,4,4,2,2,215,0,0.36,0,26,4,14.89,19.15,21.28,19.15,14.89,10.64,1,8,7,4,9,4,5,8,6,2,23,"MA Biotechnology",10,"","","",2,9,5,"New Jersey","7,719","",1,3,1,"IP Law",1,10,8,8,7,5,5,2,3,4,3,7,7,6,5,7,9,6,6,NA,17.31,13.46,17.31,19.23,19.23,13.46,9,9,9,10,7,7,18.37,16.33,16.33,18.37,16.33,14.29,8,8,10,8,9,NA,NA,NA,NA,NA,0,6,9,10,8,10,7,7,9,2,NA,17.65,13.73,17.65,19.61,19.61,11.76,9,7,9,10,9,3,3,3,NA,NA,NA,NA,NA,NA,16.67,14.81,16.67,18.52,18.52,14.81,9,9,10,10,9,9,18.87,13.21,16.98,18.87,15.09,16.98,9,7,9,10,9,NA,NA,NA,NA,NA,0,2,0,NA,NA,16.67,14.81,16.67,18.52,18.52,14.81,NA,NA,NA,NA,NA,NA,9,10,9,10,10,9,10,8,8,10,8,NA,9,8,12,12,12,NA,NA,NA,NA,NA
"5878",386,8,0,15,2,15,19,14,14,11,1,397,1,-0.22,1,24,2,20,21,21,22,6,10,1,6,8,8,9,8,8,8,7,2,26,"School Psychology",3,"Brown","1,400.00","27,395.00",2,4,2,"New York","11,023","75,347.00",2,7,2,"School Psychologist",3,1,3,5,8,7,7,2,5,7,8,8,9,9,8,8,8,3,4,NA,15,10,30,10,15,20,15,10,30,10,15,20,40,5,10,20,10,15,7,8,9,9,9,6,8,8,7,9,1,7,8,8,7,NA,NA,7,7,2,4,25,20,30,10,5,10,7,9,8,7,8,7,3,3,15,20,20,15,15,15,15,20,20,15,15,15,15,20,20,15,15,15,15,20,20,15,15,15,7,8,8,7,8,6,8,8,6,7,0,1,1,1,NA,15,20,20,15,10,20,15,20,20,15,10,20,15,20,20,15,10,20,15,20,20,15,10,20,7,8,8,7,7,6,7,7,6,7
"6940",470,5,0,9,2,19,15,13,14,13,4,484,0,0.43,1,31,4,16,16,20,16,16,16,1,9,8,10,8,7,7,7,3,2,29,"medicine",4,"harvard","1,400.00","26,019.00",4,1,1,"south carolina","29,571","18,619.00",1,4,2,"medicine",4,1,1,1,10,10,10,2,1,3,10,5,10,10,6,6,10,1,4,NA,10,20,25,25,10,10,40,10,20,10,10,10,60,10,10,10,5,5,4,9,5,8,6,4,9,8,5,6,0,3,3,8,2,2,2,5,4,0,4,6,6,9,8,2,2,5,8,8,5,5,2,3,2,35,10,25,10,5,15,20,15,30,20,10,5,50,10,10,10,10,10,60,10,5,15,5,5,4,7,7,7,9,3,9,9,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282",26,6,0,11,2,2,16,13,NA,15,2,41,0,-0.05,0,30,4,30,20,10,30,0,10,1,5,5,5,5,5,NA,5,NA,2,23,"Social Work",11,"","","",2,2,4,"California","94,596","43,664.00",1,5,2,"Social work with children",9,9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1,7,10,20,20,20,15,15,10,NA,NA,NA,NA,NA,NA,25,10,10,25,20,10,7,8,8,8,8,NA,NA,NA,NA,NA,0,2,5,5,3,5,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4892",327,6,0,11,1,13,9,9,9,2,3,334,0,-0.1,0,29,4,40,10,15,10,10,15,1,9,7,7,8,8,6,8,6,2,29,"SIPA / MIA",13,"University of Arizona","1,099.00","10,356.00",2,2,7,"USA/American","","",2,6,3,"Consulting",7,1,1,5,10,8,7,7,1,6,10,1,9,8,9,9,1,5,5,NA,15,10,20,20,20,15,15,10,20,20,20,15,50,10,10,10,0,20,7,7,9,8,10,8,8,8,8,10,0,8,8,8,8,8,8,8,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,1,NA,NA,NA,NA,NA,NA,15,10,25,10,20,20,25,10,20,15,10,20,50,10,5,15,5,15,8,9,8,8,10,5,8,6,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1192",86,11,0,21,2,4,18,7,NA,7,4,97,1,-0.07,1,29,2,50,7,20,23,0,0,1,8,8,8,8,8,7,7,7,2,22,"Communications",3,"","","",2,1,1,"Minneapolis, MN","55,424","55,223.00",2,7,1,"Professor of Media Studies",2,2,2,1,4,7,7,2,1,6,4,7,5,10,10,10,2,2,6,10,15,20,20,20,5,20,NA,NA,NA,NA,NA,NA,40,10,10,10,10,20,7,9,9,9,4,NA,NA,NA,NA,NA,1,7,7,7,7,7,6,7,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,NA,NA,NA,NA,NA,30,5,20,20,5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,9,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"851",60,5,0,9,1,3,10,6,NA,9,3,68,0,0.28,0,27,1,21,17,22,20,8,13,0,3,6,5,4,6,4,4,5,2,29,"psychology",3,"","","",6,3,10,"New Jersey","7,747","",4,6,2,"comedienne",6,3,1,9,9,5,5,3,1,5,5,2,10,7,6,9,5,5,4,10,5,20,25,15,15,20,NA,NA,NA,NA,NA,NA,60,10,10,10,5,5,7,9,9,9,9,NA,NA,NA,NA,NA,0,5,1,9,1,1,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"968",71,6,1,12,1,3,10,1,NA,8,10,65,0,-0.37,0,23,6,17,17,17,17,17,15,0,5,7,7,5,7,5,5,4,2,21,"Law",1,"","","",2,6,7,"Minnesota","55,345","53,940.00",5,6,2,"Pro Beach Volleyball",14,9,10,6,4,3,3,7,6,7,7,8,3,10,6,8,2,1,9,5,60,15,0,15,0,10,NA,NA,NA,NA,NA,NA,80,10,0,10,0,0,6,8,8,10,10,NA,NA,NA,NA,NA,1,8,8,9,9,8,6,7,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,2,NA,NA,NA,NA,NA,NA,70,20,0,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,8,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
